"","GSM333436","GSM333437","GSM333438","GSM333439","GSM333440","GSM333441","GSM333442","GSM333443","GSM333444","GSM333445","GSM333446","GSM333447","GSM333448","GSM333449","GSM333450","GSM333451","GSM333452","GSM333453","GSM333454","GSM333455","GSM333456"
"CCDC51",8.115778,7.83933,7.7684317,7.7740436,8.690254,7.263573,8.230212,7.5197506,7.0698366,6.6115522,7.8452535,7.6757293,7.9575768,7.6273694,7.5584154,7.8310213,7.7500796,7.8795543,7.9398,7.3369155,7.94282
"RGCC",7.5453115,8.012745,7.852636,8.409893,6.0717406,9.029757,7.6277623,6.7604637,8.520524,6.353563,7.3808694,7.8180575,8.3225355,8.345919,8.01428,8.366514,8.229551,8.433177,8.503269,8.280912,7.9220676
"SLC25A22",6.18222,5.226493,2.5778518,3.73336,5.610572,3.4562654,6.061404,5.2498627,5.030532,4.9083385,5.6119657,5.836049,5.144287,5.670937,5.684008,5.24668,5.1995425,4.2531796,5.611109,5.3328733,3.2297218
"LXN",5.730689,4.6114984,5.303947,3.182529,1.9345205,5.1192794,5.4216013,5.6643963,4.6126647,4.8542776,5.7665925,5.0037503,5.552809,5.4260297,5.2971206,6.352373,6.108294,6.5213766,5.5816793,4.910026,4.332179
"VWA1",6.743236,5.0185595,5.9588933,5.2049184,5.2503433,3.6469438,6.748056,6.455949,4.7995076,5.236128,6.5463724,6.0450325,5.4901404,6.365227,6.4306006,5.598061,6.0046997,6.618092,5.561588,6.111483,6.2533984
"PTRH2",7.816173,7.1957746,6.525967,8.287904,8.587404,7.3540936,7.6829033,7.774087,6.974664,7.070544,8.238214,8.028507,8.275092,6.546468,7.1530647,6.9222293,6.8559265,6.883442,6.3547597,6.54262,6.3189096
"MSL2",7.773184,7.142797,7.305179,7.9897456,6.5422873,7.3709955,7.0979147,7.087465,6.732133,6.4198556,7.5137706,7.234691,6.5884542,7.1488404,6.8261027,6.40839,6.509409,5.774811,6.6464324,7.140298,6.603418
"NAA40",6.107654,5.732068,5.0803046,6.79245,5.284096,5.5804334,6.3903346,5.7495255,5.3831987,5.516108,5.9847403,5.4863415,5.751486,6.184635,6.2566614,6.5757265,6.3813467,5.4816327,6.0228577,5.942682,5.6938334
"ZNF544",6.714833,5.988342,6.2252874,6.5653152,7.3281155,6.4912553,6.297297,7.1360292,5.954548,5.607284,6.9503484,6.897126,6.665367,6.7174935,6.4475317,5.2593875,6.5578675,5.51322,5.9704604,6.2139015,5.833007
"PALMD",11.068648,9.865877,10.297696,10.154887,10.87555,10.523396,10.61816,9.620199,10.6029,9.292507,9.94583,8.934817,11.783617,10.182637,9.836856,10.026459,10.018163,9.601509,9.664628,9.798831,10.243244
"RNF138",7.718887,7.2528276,6.6819663,7.522281,7.413197,7.132349,7.1107364,7.237013,5.905886,6.3969107,7.8932867,7.1377964,7.7004986,7.0931244,7.34647,7.319305,6.88588,7.1834464,7.0947404,6.805708,6.8193927
"CDK5RAP3",7.4986453,8.278498,7.728132,7.906396,7.828439,7.6972218,7.362469,7.8742447,7.5853176,7.7574954,8.113038,7.103799,8.422975,7.9323883,8.018801,7.2492003,7.546422,7.582744,7.1827283,6.9821315,7.0244527
"NARFL",7.854123,6.6950197,6.590364,6.3667016,7.335802,6.3239045,6.9253445,6.971561,4.7539034,6.4737787,7.2703824,6.8144474,6.8253717,7.3193665,6.921227,6.73193,6.7140026,7.2399435,7.2099304,6.487115,7.3074245
"CHMP6",7.6474886,7.0278745,7.2253923,6.6572914,7.9557443,6.98407,7.0635805,7.121176,6.3776517,7.133317,7.263756,6.655604,7.0678334,7.2056594,7.42161,7.32176,7.320671,6.830609,7.2426147,6.5800867,7.311835
"PACSIN3",7.580121,8.821799,8.580284,8.9562435,7.821344,8.002219,8.00142,8.744144,8.510264,8.516213,8.551801,7.27557,9.9779415,8.580054,8.684238,8.353497,8.141303,8.125395,8.3459215,7.822365,7.708416
