"","GSM333436","GSM333437","GSM333438","GSM333439","GSM333440","GSM333441","GSM333442","GSM333443","GSM333444","GSM333445","GSM333446","GSM333447","GSM333448","GSM333449","GSM333450","GSM333451","GSM333452","GSM333453","GSM333454","GSM333455","GSM333456"
"RFC2",7.307004,6.9436965,6.251595,6.6702943,6.2814484,6.5489492,7.081101,6.7075124,6.6480026,5.8939743,7.500493,7.0098057,7.21018,5.9068203,6.7956314,5.9904385,6.4326143,6.4697995,6.45715,5.8738494,5.9505887
"HSPA6",3.182125,3.3990104,4.073724,4.641001,2.7457807,3.6335216,5.162483,4.8889213,4.828152,4.4768043,2.1723156,4.7069926,3.2469633,5.243306,2.5348988,5.11083,3.0720658,3.608008,4.86393,3.6191618,4.3384633
"PAX8",6.763029,6.9174485,6.4009514,5.2179003,6.842085,5.3871927,7.024582,7.168224,6.385455,6.1143074,7.703677,6.8969736,7.0596995,6.5525074,6.364314,6.169057,6.9640193,7.240323,7.329115,6.7083297,7.0794
"ESRRA",9.898127,8.869542,8.843806,9.733273,10.269441,9.291846,9.886029,9.069415,8.523663,9.249767,9.821811,8.72702,8.697281,8.920076,8.366937,9.115655,8.891103,9.14348,9.295427,8.470349,8.705188
"SCARB1",6.1477723,6.106422,5.4497333,5.978374,4.3759007,6.0278015,6.2725315,5.999291,5.8610296,5.348223,6.720247,5.8144846,5.6148562,6.0590696,6.2906866,5.542563,5.958192,5.924088,6.3232894,5.280816,5.8954406
"TTLL12",6.4961424,6.492758,6.077409,7.2121153,7.16865,5.581096,6.932392,7.6813493,6.181959,6.257967,7.106812,6.9321795,7.73169,5.776711,5.9105854,6.423464,5.9832253,6.4629498,6.3527775,5.828686,5.828628
"CYTOR",4.7122526,2.2595525,2.8007736,3.5648346,4.658236,3.7621918,4.088273,4.267328,4.2328787,3.6026711,4.49335,4.3210716,3.2906022,2.4723895,4.7694025,4.8470902,5.0144587,1.2174652,4.244671,4.1412134,1.9815774
"MSANTD3",7.46106,7.200309,6.8871355,6.796369,7.232182,6.836011,7.4291434,7.1611147,6.653249,6.5183315,7.367663,7.4304643,7.6504536,6.692117,6.611563,6.6127753,7.31688,6.6752863,6.772619,6.774078,6.425128
"SLC46A1",5.202414,5.5063367,4.8776402,5.4396615,6.17391,5.1398335,5.257157,5.7613363,5.098244,4.434497,6.4046216,5.8146005,4.9993863,5.3238664,5.350853,5.809946,5.22111,5.9784517,5.400537,5.8333607,5.4823017
"SLC39A5",3.7035053,4.495294,4.828592,4.5621824,5.9095855,4.5669656,3.5404575,5.7443013,2.4535182,3.478538,5.5735164,3.644954,5.1088233,4.8142776,5.284079,3.7560709,4.8939238,5.5929837,6.057495,5.4623775,5.9164424
"ATP6V1E2",6.469234,5.7752666,5.435856,6.0796638,5.192444,4.746295,7.1649137,6.257741,5.926784,5.8400464,6.3534656,5.1668777,6.802696,5.076764,4.950235,5.5510783,5.9701157,6.0625887,6.472126,5.280916,6.1109548
"AFG3L1P",6.9643097,6.7939587,6.848346,5.963437,6.023311,6.5749364,6.3075814,6.3178334,6.2600007,6.190032,6.9014077,6.5124445,6.667006,6.165556,7.359284,6.735228,6.469721,6.150686,6.375646,5.793516,6.581754
"CORO6",11.123702,11.243203,10.957385,10.961964,11.663568,10.642978,10.825787,11.784467,10.122401,11.1925335,11.741061,10.640771,11.4799795,10.461958,10.414562,10.058519,10.195837,10.394668,10.174515,10.258756,10.073058
"TMEM106A",5.9790616,2.4598234,3.6152298,4.3898354,5.075984,4.519647,5.5039983,4.853267,4.373639,3.8724875,5.405863,5.133274,4.178124,4.811078,4.8900666,5.4968657,4.2523255,4.180975,1.7984271,2.8480244,4.2326117
"ALG10",4.0177436,3.5492344,2.585631,3.8584013,3.252701,2.8706684,4.5124702,3.8429782,3.8342159,1.5531132,2.8269582,3.8523262,4.1421328,3.6305807,0.84594303,2.7917933,3.0000157,1.1752198,2.973938,3.534403,-0.059270162
"NEXN",10.0902,12.096563,11.395018,11.599205,11.865819,10.22204,11.445057,11.958541,11.304442,11.383197,11.842332,11.067881,12.028717,11.699272,11.707701,11.991131,11.11491,11.678174,11.6461735,11.61095,10.817827
"C15orf40",6.6786904,6.700459,6.6000776,6.316773,5.2210336,6.5678005,7.309447,6.3900003,5.94629,4.9253902,7.249263,6.3002253,6.892683,6.2441306,6.5208073,6.4805493,6.4496217,6.483106,6.4265175,5.721716,5.8975487
"GIMAP1",7.124904,6.8597116,6.821893,7.1370068,6.5644574,6.8703146,7.1192746,6.9599633,5.8144307,6.986099,7.3108654,6.838732,7.0593476,6.74724,6.8034506,7.017038,6.8489766,7.1379914,6.155491,6.3166804,6.4055142
"FAM122C",1.3449721,4.0081735,2.9552372,4.079037,3.3817213,0.025324956,4.580682,3.9457312,1.7943575,3.7684536,3.8144908,0.59150153,3.4563518,3.4549735,2.011184,4.000122,1.5656397,3.8422399,-0.46372017,3.4981203,3.6316445
"CFAP53",5.4614077,4.5482497,4.7692637,5.328755,3.5952516,4.2072735,4.6625533,4.939419,4.9294505,5.0737696,5.223197,4.5881796,5.418275,4.545928,4.2958064,4.912761,4.5488305,4.9820824,4.4111466,4.451677,4.231344
"CENPBD1",6.4935327,6.093973,6.209813,6.421078,5.880177,6.3621736,6.2773824,7.0828576,5.371,5.624001,6.7306867,6.285217,7.347643,5.976608,6.7022305,6.0111747,6.0533695,5.6872425,6.091446,5.3397155,5.395035
"CRYZL1",8.142564,7.635086,6.809926,7.761886,7.2007313,7.185962,7.265594,8.057195,7.2614193,7.411167,8.48118,7.92384,7.759602,7.536343,7.758316,7.5612574,8.22231,7.812791,7.3214536,7.7031574,7.5801816
"MCMDC2",3.8506596,-0.585558,2.3556852,4.135363,3.4120784,-1.5256182,3.3069415,3.791306,0.5862832,3.7385983,3.7065632,0.33643696,4.4446793,3.1727602,3.5913053,3.5270443,0.54789835,3.9451718,3.863156,3.8609002,0.10174634
"LEAP2",5.890019,5.9065013,5.2195635,6.025038,6.1322083,6.322092,6.0798225,5.409986,6.0043836,5.7273154,6.120082,5.8138824,5.3605394,6.030758,6.4398313,6.1127677,6.0159206,5.8756194,6.027747,5.5311995,6.053326
"C4orf33",4.546539,4.573689,3.9711149,4.1209555,4.256909,3.9774055,4.887999,3.3501213,3.4661257,2.6758447,4.550837,3.7047365,4.7353277,5.069667,4.3029733,3.5063581,4.245651,2.470526,4.5613155,3.5323079,4.578822
"FAM71A",5.4711204,2.1958067,3.3071108,3.4173822,6.3464627,4.3486247,5.510591,5.4101677,4.949782,5.1984916,5.6516566,4.942478,5.747768,5.0720153,5.329099,3.3161695,5.2073436,4.50825,5.64406,4.873399,5.280672
"GAPT",2.9560566,3.4483914,1.9557927,-0.08608588,3.084099,2.9903793,3.3177493,-0.12884404,1.8089347,1.5687805,2.6486228,3.486379,3.663724,3.2472756,3.2320845,3.6906583,2.6334596,2.2428298,3.6273434,2.4938323,3.6564455
"ERICH5",3.7846262,3.3461688,-0.034758415,1.8212478,-0.58930033,3.3851578,0.50476736,3.4147482,0.16181709,3.057889,1.7928373,2.725671,3.1849945,2.836076,3.2495577,0.5189444,3.1958191,-0.7165141,3.6246107,1.2249424,0.51815426
"CCDC185",5.291292,4.283092,4.436705,3.558282,0.8557132,3.7382424,5.1687803,4.56129,4.3241897,3.944317,4.498424,4.64927,4.351387,4.854585,4.299365,5.129065,3.4945078,4.7460194,1.7789311,1.736653,5.4334984
"TMEM266",5.502488,5.60161,5.353478,6.053579,3.1530776,4.828793,6.606157,4.749616,5.4140635,4.773467,5.2126374,4.83831,4.161587,6.277791,6.751675,6.947914,6.355285,6.583085,6.9765906,6.0034285,6.640927
"CALML6",6.0886273,4.574634,4.6457143,5.7644873,1.7859619,5.3078103,4.986172,4.359063,5.119669,5.0663157,4.6372395,5.349748,3.4302154,6.8727736,7.509182,8.450484,5.783282,5.6599727,7.7767973,5.911069,7.496938
"WFDC9",3.8949616,4.4251847,1.5223,1.4126759,5.0013313,0.5025241,2.45014,3.186801,3.409803,1.4958524,1.2197402,4.20982,2.5805943,5.0702877,5.088441,4.559053,0.46046737,4.209553,1.4389706,3.6184928,4.050711
"TTLL10",4.137493,3.3449597,2.5860412,3.2184572,6.2232914,2.5399785,4.430146,5.681559,3.4981265,4.2149906,5.3266745,5.032891,4.4173536,4.7570806,4.457854,4.5343556,5.531267,5.173004,5.06227,4.960891,3.088112
"KLHL10",4.970608,4.991748,3.1664221,3.562798,5.762324,2.5932002,4.651933,4.6974683,2.7722106,3.4783797,4.6770606,4.0254817,4.72364,3.8616605,5.0163875,3.3775177,1.3057535,5.270623,4.84095,1.1237278,4.9689913
"ZNF485",5.6504717,5.963344,4.0884495,5.0859,5.125054,5.342711,4.813718,5.753079,4.397995,4.675988,6.4214525,6.443632,6.126567,4.310118,4.6828904,4.0405474,5.3848615,3.9563074,4.828859,4.7167306,0.6590325
"WDR17",2.1565726,3.2876685,3.896466,-0.7455694,-1.4099789,2.7656868,-0.36502457,2.221159,2.3526404,2.2384918,2.5052419,3.8740544,2.132836,1.9437368,2.8280199,1.7546501,0.09982468,2.9679198,3.4520905,0.016935775,2.309318
"ANKAR",2.9664242,0.37209108,0.4619546,2.249146,2.1567338,3.289536,0.04272194,1.9367386,2.7852905,0.7767178,3.3139684,2.8135417,3.102739,4.1221538,2.8676543,3.8563602,3.5302656,2.991223,3.6908705,3.885814,1.130348
"GPR182",4.918642,4.598606,3.7069466,3.5868914,5.302108,3.522293,4.834191,4.3927054,3.452735,3.2709954,4.9275384,4.3287997,4.9385457,4.3043075,4.9306345,3.699515,4.068965,5.01311,4.1985283,4.1319714,5.0048523
"MBD3L1",3.3949058,4.272948,1.9513613,3.1216388,4.231652,1.6521099,4.4571695,4.446975,-0.39092126,1.1817626,0.48167443,3.8091035,4.206453,1.4776917,3.8248491,4.9430957,1.7798084,1.3207235,2.1675215,3.1716526,3.0425014
"SERPINB11",2.6199687,3.7557094,4.02447,1.4893557,3.7473967,1.9793059,1.9291348,2.9816184,3.378907,0.6776711,4.4891386,4.0724626,-1.1810281,4.2314205,3.8320575,4.039518,2.293479,2.6516173,3.1992526,2.6821938,2.6816466
"GAMT",10.362775,9.338133,10.621401,9.98185,10.747056,10.418538,10.558957,9.712,10.361006,10.523084,10.30655,10.268287,10.185851,11.112319,11.228986,11.307322,10.910194,11.061069,11.441655,10.710389,11.406143
"PLCD3",6.8205967,6.338373,6.1300497,6.8271036,4.660314,5.351381,7.268594,5.5386105,5.4944625,6.5940976,6.9976172,6.702142,5.396793,6.7758913,7.634807,7.2069373,6.5431066,7.272346,7.5847325,6.6218176,6.9728813
"AFG1L",4.272856,2.991404,3.1455958,4.1227484,5.110612,3.5232983,3.6937306,4.526275,3.8480296,4.597073,3.6635678,2.5103893,3.6811574,3.1108232,4.094935,3.9905875,4.2614284,3.4896522,3.8041172,3.9058857,3.431063
"IDI2",9.762894,10.376376,10.413837,9.139479,5.4333143,9.665371,9.95681,7.115795,10.222776,9.821469,10.9646635,7.407376,8.052092,8.8976755,9.348935,10.030029,9.210788,9.023995,9.201787,9.44968,10.014033
"SLAMF6",4.663106,3.282769,4.3323154,4.2414246,4.0742154,-0.15030085,4.4442286,4.945871,0.68266624,4.9974113,5.2114644,4.837422,3.656886,4.7716656,3.2267766,4.5527787,5.0266676,5.7985387,5.2334704,4.985127,4.6776934
"ZSCAN20",5.6436305,3.4498057,4.629796,2.250276,2.8388462,4.2559733,4.4923887,4.6070786,4.635581,4.8805246,5.172621,4.49063,3.9290018,5.4240413,5.26243,5.22547,4.5183926,5.408468,4.7331486,4.4667683,5.4236727
"BRSK1",3.4454584,3.4218729,4.4047093,3.1950188,7.0940504,4.6020126,6.241725,3.476585,4.8729224,2.38907,3.7996595,3.9920826,1.8846837,4.3426056,3.6955268,5.462459,2.7701843,5.808947,4.870641,5.9866877,5.259996
"CD300LG",7.4783835,7.1244407,7.38363,6.231747,6.5828457,8.636317,8.019321,7.6630797,6.699306,7.87007,8.759839,6.2116613,7.419979,7.375514,7.6404047,7.3896856,7.164759,8.194116,6.365254,7.143768,7.3316464
"ACVR1C",5.544237,5.503215,5.889634,5.968921,7.235939,4.623604,5.548351,5.521164,4.390271,6.6587405,6.190515,7.2027855,6.111747,5.3036814,5.875768,6.1435103,5.282872,5.569994,5.356145,6.079131,5.616455
"TMEM74",2.8895764,5.175755,3.704628,4.212543,3.8949175,3.9833658,4.1737623,4.674305,5.6006126,5.207905,4.5622616,4.3504267,4.226904,4.3006797,4.446062,3.9544692,4.891214,5.069246,5.499826,3.7944605,4.162802
"TIGD4",5.0726843,4.060036,4.9727793,1.6190385,4.7751575,2.7188919,3.8717873,4.9029155,4.330686,3.4882863,4.325013,3.641081,3.980376,4.9961777,3.984673,3.7685988,4.2147603,4.598286,4.607022,4.4355116,4.9553714
"TAGAP",3.1897657,5.053726,1.7922697,4.8123827,2.3367133,4.054642,4.7436132,3.2229729,3.6009855,4.757059,2.9883485,4.255672,1.9490638,4.799113,2.7870991,4.3911114,5.6402116,5.708033,3.0587482,2.0121274,3.306167
"SERPINA12",3.386951,1.0753347,0.6969741,0.17636386,4.763155,3.391124,2.9364595,3.9681137,2.6656642,3.5739477,1.4266994,3.8122437,2.550102,4.5213776,3.486932,3.1781888,3.7670887,3.8267682,2.6498635,3.3447204,3.9889708
"CLEC4C",4.4135594,2.1692443,4.0634565,4.0372376,0.80043745,0.84230256,2.101119,3.1511831,3.0342953,3.2234826,1.3600237,3.477439,3.6848917,3.1472821,1.5573459,3.8324091,3.6107726,3.5764565,3.766083,-1.1680992,3.517093
"ZDHHC15",3.0933223,2.7049756,3.9454503,2.440154,0.73689044,3.9360769,1.287754,3.78637,2.093171,2.257937,3.3113506,3.885496,3.0179663,3.0827563,4.0272956,4.159772,1.880476,2.7213447,4.0045667,3.7979307,3.7425117
"NUDT9P1",3.8202982,3.9680889,4.265331,3.2014296,-0.25375816,4.167714,2.9534373,4.168731,3.3944485,4.5991735,4.553519,1.2136613,4.3582783,4.5531473,4.3468766,5.099585,4.7225847,5.1566296,4.707842,4.1610246,3.4497902
"MIPOL1",4.3738313,3.1949916,4.431011,2.9904616,5.6262054,2.690778,3.680957,0.6798871,2.4371262,3.8383043,3.7078772,0.87546676,3.1014922,3.1615655,4.064236,3.941711,3.0591576,4.4292626,2.1983795,1.7195059,5.119308
"IL12RB1",4.428239,1.6016178,2.5030673,3.5143375,2.990237,0.042442076,4.2807837,4.2147255,3.1246963,3.889131,4.1166024,3.8608644,4.1222644,5.0405264,1.499353,4.32488,3.661038,-0.14413892,3.156197,3.47408,3.3121302
"GTF2A1L",0.8488325,1.8626136,0.33998072,3.0109363,1.2482798,-0.99087286,1.3749226,3.2311735,0.39664212,3.5035152,3.5097735,3.276259,3.1735022,4.124148,2.7179403,1.0403755,3.3088868,4.348068,3.21762,4.305723,0.59190416
"CNBD1",4.280504,3.1894634,0.9745527,3.5020769,3.6821418,1.3075031,2.498561,3.7478597,2.9953775,2.1020885,3.548389,3.5274715,4.273142,4.116214,2.5961957,3.5031855,3.9273894,3.59462,4.0918126,3.5432537,2.955263
"PXT1",4.4774446,0.9397366,2.947674,1.5168931,4.704744,4.096501,4.0106335,4.127338,2.130273,3.8845782,3.4531646,3.6966896,2.533135,1.1843138,1.3855215,4.041552,3.8808608,3.592432,3.7485414,3.5750666,4.0588927
"CACNG5",4.694514,3.828566,4.4897056,3.883921,4.717169,4.236371,5.3827295,4.9093156,4.687909,4.242074,5.0815015,4.5253677,2.8643422,3.4817147,4.4747047,4.514213,4.8189335,5.02039,3.9132698,3.3240278,3.2443564
"TMEM163",2.6010094,1.0026526,4.6552663,1.7210703,2.5038834,4.540255,4.465954,3.1699684,2.490992,1.5612653,4.336992,4.6274376,4.17719,4.5971212,4.098445,3.5191925,4.749577,4.5332246,5.046704,4.088104,3.4116712
"HERPUD2",8.276246,8.122763,8.239866,8.658027,6.463554,8.371915,7.7348995,8.268486,7.4398904,7.7314386,8.48897,8.553772,8.78253,7.617433,8.272222,7.7440267,7.9152856,7.5142784,7.665826,7.1813865,7.5349894
"ARSG",5.3196306,6.072001,4.117111,4.3354344,6.1043873,4.4239,5.1144834,6.352036,5.114648,4.8485785,5.8175325,5.3739543,5.4686337,4.182268,5.0630813,4.7307644,4.708793,3.4498076,4.546534,4.2241073,3.444863
"TXNDC2",4.7240763,4.856476,3.4672022,3.1769512,1.1199613,3.7989426,4.464576,3.2963684,3.2375686,1.2993319,4.6434298,5.1495996,4.146129,4.561535,5.539114,3.5433002,3.505564,5.094528,3.7313063,5.12571,4.9479375
"JMJD1C-AS1",4.8838124,3.2124515,1.6928872,3.483033,2.442689,3.4980204,4.037365,4.5866776,2.5687656,2.8265889,4.1109924,4.572466,4.850694,4.21724,4.62586,3.5927305,3.9471178,5.191727,4.617762,4.52194,4.185505
"KNL1",4.5399985,4.286499,4.0725565,4.0023694,2.165023,-1.1652911,4.4964128,3.9644043,-0.14451118,4.69245,3.2145445,5.1923842,4.18522,2.699742,4.000278,4.5768623,4.3226366,4.465236,3.6905925,3.8667083,4.474055
"CACNA2D4",4.602393,2.6351483,3.9180713,3.3667076,4.985396,4.8385644,5.327396,4.9222217,4.9368496,4.858997,4.755276,4.9969416,4.28174,4.0676928,5.00838,3.7053428,4.315058,1.1214592,1.4903518,4.0137153,3.6345277
"TUBA3FP",3.044948,4.532661,5.001837,2.8475184,2.1822224,0.5028939,4.6581273,3.5159628,4.3227525,4.6784306,3.589147,2.6049416,4.5907993,4.0934443,3.6914551,2.0679202,2.473742,4.3073764,4.7261934,3.9938123,5.0778947
"CARD16",5.2016273,4.9230165,3.1540434,2.8012898,2.4673247,3.5361025,4.4794426,5.350958,3.7517757,4.537785,5.4727817,5.321361,5.4694276,5.2498703,4.0127583,4.5974755,4.9951425,4.9391007,4.188134,4.558571,3.4948013
"DUSP19",3.7469199,3.7588122,3.1319995,4.5161285,3.153431,4.2445426,3.5353901,4.6282244,3.0718606,3.1741018,3.152808,3.8100066,4.3268366,3.0539355,3.943464,4.393071,4.2051044,4.7171288,3.9646087,3.404022,4.3165283
"SLC4A1",0.9232225,1.4437432,3.3898244,3.3581886,5.481097,3.0679555,2.2154927,4.023239,4.026072,1.9232546,3.452095,5.084714,2.5716698,4.0792804,3.9212377,4.1266556,4.6481137,3.4189968,2.8107405,3.9982,4.491108
"RHOXF1",4.622041,3.6694992,4.8953543,3.402491,3.8119617,3.1868994,5.3170857,4.779212,4.648659,4.19099,5.7201567,4.4607224,5.4484863,5.5600924,4.9517655,4.884379,4.569506,5.250102,4.95772,5.0839353,4.639966
"ADAMTS17",6.79146,5.811301,5.1273284,5.6433234,9.270954,6.7619576,4.773251,8.058918,4.94139,4.5667295,6.094471,8.649567,7.3481293,4.800416,4.526788,4.802685,3.828467,3.917368,4.5238285,4.58143,5.424987
"ABRA",8.086611,9.186517,9.038886,10.806766,8.062944,8.54197,9.458819,9.650062,9.545131,9.173786,9.547364,9.229178,10.311635,10.703195,10.501614,11.332282,10.519394,10.76267,11.818986,11.137319,10.592963
"KLHDC1",7.2329307,7.002467,6.9679546,6.8621626,6.4982157,6.183169,6.681927,6.7826447,6.203126,6.5926275,7.515712,5.4926043,7.200731,7.707774,7.5097632,7.852068,7.578185,7.511957,7.571005,7.153235,7.1129513
"NETO1",2.5487442,0.666175,2.2596104,2.019611,5.0051403,1.77872,1.2385064,3.1567938,0.7058396,0.25340188,0.81572354,3.808464,1.840907,2.2992237,3.602936,0.47990543,1.8485005,1.8585678,1.3993303,3.7191138,4.172432
"ST7L",6.418437,5.8815303,5.115617,4.841375,4.926303,5.257251,5.1864753,5.1820393,5.026296,4.0500817,7.0069413,4.0472636,5.57423,4.2973537,5.1155148,5.0879707,4.7814593,5.0417247,5.6910505,5.2489133,5.626883
"KCNH8",0.30081782,-0.8576043,1.1339113,3.4330947,1.8112493,0.25578973,2.7490733,2.159311,2.8730793,3.8644054,4.260342,2.4685128,3.6357806,4.1508512,3.7350686,2.711255,2.8223555,3.2291517,4.0204434,2.009122,3.821907
"SLCO6A1",3.935496,2.0363407,4.0774584,3.0387535,4.3709226,0.38269922,3.214372,3.4505243,2.114107,3.519556,4.4914126,4.5817866,3.3218284,1.7295731,2.9439318,3.0547748,3.4457138,2.207417,2.856099,4.1815724,1.5651522
"PP2D1",4.092483,-0.6175129,1.8850683,1.1478771,3.6232126,0.20284018,3.8448954,2.0310116,2.2142136,2.682167,3.2924345,3.3269422,2.9883997,1.5790621,3.0868533,2.1329,2.805562,3.4793181,2.6165102,0.5295569,2.3509276
"CADM2",4.6160583,4.033125,3.9736774,4.0068083,3.959287,4.132454,4.389455,3.9397366,2.559126,4.312473,4.9487357,3.9089558,4.486374,4.203556,3.8404768,5.0375,4.6426687,4.3024526,4.5535903,5.098737,4.1312075
"HS6ST2",6.0046496,6.3286304,5.3430386,6.454459,6.7518935,6.643198,6.4349537,8.754445,7.147358,5.257026,6.4007044,7.107321,7.900682,5.8181396,7.2170916,6.471615,6.2887845,6.3282576,6.352636,4.455534,5.1158214
"ZNF625",3.594163,1.2951547,3.609503,4.122215,4.7968893,3.4791768,3.970204,4.9659286,1.7329744,1.6324569,2.941108,4.3255515,2.7772331,1.8479927,0.8101635,0.7773749,4.4041033,3.675327,4.6252747,4.084045,4.1943645
"ZNF563",4.626754,4.6495223,5.0985355,5.212505,4.737595,4.5854087,5.399351,5.325792,4.3604946,4.923514,5.749466,5.392573,5.327865,3.1994514,4.6220627,4.619065,5.014621,4.568833,4.014945,4.0853715,4.2162075
"RAET1E",4.790818,1.2978221,4.3851843,4.6154184,5.7438335,4.6581545,2.025104,5.222512,1.3914039,0.44609535,4.554718,1.975517,6.2121468,0.9213191,2.0561295,3.5410752,1.7692214,0.5690556,1.707934,4.1844172,1.7301947
"ZNF781",5.029305,3.7967088,3.1093361,3.577828,0.8851489,4.4065795,4.509099,2.9739733,4.038168,3.5976665,4.3730626,3.5933728,4.0561337,3.8459494,3.9585302,3.8087175,4.513268,2.7401948,4.4080615,4.5654087,4.2030883
"RFX4",0.011928113,3.9696794,2.141384,2.2133784,5.0441403,2.6228008,2.3952324,1.1345398,-1.0831944,3.7497587,3.8976243,0.13215877,2.7934403,3.8994658,2.8954043,3.1869934,2.4025578,3.8342552,1.7125465,-0.12458153,3.0416024
"KLF14",4.1323123,0.7931809,0.9909478,1.7282058,5.0579853,3.8044393,2.5244808,4.7452955,1.8797255,0.56774306,2.024913,0.82867134,2.355629,1.944068,4.4849687,0.9894166,2.995349,2.2592494,4.352089,2.272109,4.479051
"LINC00205",2.8630793,3.4291666,3.619326,-0.28000075,3.9068625,1.9417528,0.6352117,4.5825586,1.5385414,2.769955,2.4047828,3.2839053,2.9550936,3.426387,3.7106826,3.0677419,-0.0018494824,4.2818327,3.4797816,2.7676659,3.880721
"SLC26A7",3.813849,3.2313814,2.7904038,3.798017,3.9602852,-0.078241676,4.0852222,4.518984,3.5876887,3.2131562,4.373368,3.1758485,3.6552856,3.742937,3.7423167,3.0692577,3.187741,4.786962,4.2615085,3.6125674,3.7693012
"FAM71D",3.0421455,4.0789347,4.24209,3.9372423,1.324948,2.9596314,4.5809746,3.9413836,3.8137732,4.11704,3.829214,-0.5844077,2.4478624,2.528949,3.0110598,1.9998726,3.1912405,4.4496922,0.5096919,2.6535044,2.4133613
"LINC00311",3.8092623,3.244224,4.398548,4.0531425,5.4107094,4.6755357,4.880538,1.9708676,4.505363,4.4673615,3.6093407,3.7486205,4.116856,1.8698077,2.204812,3.4342308,4.1304,2.7038043,2.6159096,3.946876,3.180986
"MAGEB6",1.2193971,2.0583465,2.4502087,2.5811985,2.3624325,3.0208645,-0.759086,-0.77003795,-3.8956447,-2.2331,-1.0096636,-1.3867815,2.7005653,-1.3966957,1.0879811,-0.32612476,-1.2523775,-2.62862,1.5507632,-0.5664342,2.261225
"CACNG6",7.6812177,7.1070566,7.1116676,7.191787,8.428297,6.25818,7.5736566,8.081769,7.2368364,7.339829,7.440508,7.524227,7.3494596,7.3780394,7.6227174,7.1793675,8.064291,8.131669,7.942931,7.897574,7.69867
"ASMTL-AS1",4.7490764,4.4451804,4.6223717,4.1552815,5.9746017,2.3347442,4.974643,5.5275006,5.0030966,4.9263644,2.9265122,4.036912,2.5284312,2.957998,4.286594,2.282935,3.867551,3.875942,4.797665,4.489022,4.3492904
"LINC00334",3.527137,3.6132505,4.458511,-0.076593444,4.033785,3.7433279,3.0671473,3.581997,3.681143,2.4995873,3.0473468,3.874548,2.491154,3.616758,3.3194206,2.5828614,3.9877958,1.734089,4.608903,3.4127061,3.541723
"AMER1",1.8541749,2.7175035,4.039392,4.289602,4.1639323,2.9986923,2.380588,5.000082,3.4844713,1.6909696,3.7011483,3.3216987,3.7960567,3.8525403,3.5641916,5.031359,4.657321,5.0201902,4.7407928,4.5989547,4.0918303
"NKX6-3",4.561712,1.8328599,1.7001245,1.0457242,5.152668,2.6046495,3.6348035,3.2399766,1.1662331,2.032009,4.9359584,3.6709833,2.9790401,2.12536,1.4855605,4.1721625,3.4849997,4.8957562,4.7536144,3.136084,1.3789103
"TBATA",5.5363803,4.5093584,4.660331,2.6712658,6.766143,3.17002,4.7502527,4.598882,4.5410643,4.4444513,4.897588,4.966229,4.485314,5.172043,4.9297385,4.394938,5.228973,4.729266,5.1475716,5.400155,4.9879327
"EXOC3L2",6.653234,5.5985856,4.8771915,5.3510933,7.1819797,4.8106837,6.819839,6.7929564,6.108409,6.103916,6.6295276,6.7808943,5.767858,6.395265,6.3531194,6.2293725,7.006485,7.3129797,6.4530463,6.607036,6.4751315
"ANKRD30BP2",3.693092,3.1920261,2.4289794,0.7427921,0.7284005,0.39573088,3.8593497,4.4944715,1.3072882,3.114241,3.7140653,3.0195618,3.1233907,3.6039965,4.1832266,4.228013,4.3553867,3.7343047,3.834779,3.8560045,1.5439756
"LINC01312",4.745643,4.0834002,4.3849015,3.250858,5.9009113,3.8138566,4.599011,4.865146,3.9221396,4.1330247,4.74981,5.134294,4.486397,4.566273,4.377755,2.9509149,4.681468,4.267844,4.484528,4.102172,5.0469394
"GCSAML",3.917822,0.3335711,3.8613212,2.0674171,3.220001,2.6231587,3.0700173,2.17436,3.197671,3.939013,1.389329,3.1242945,-0.08411324,3.2336068,3.1761956,3.5474021,2.0013301,0.62634873,2.3455203,-1.2554106,0.7240048
"IFNL1",5.4975758,4.672533,3.3809931,3.3324203,3.4634001,4.30055,5.0370593,5.0250993,1.5264009,3.9973707,4.8707137,5.038727,3.8522985,3.940526,5.493548,3.4433882,4.7014527,5.436096,4.7381315,4.127751,5.0054755
"C4orf36",1.2104812,0.46863225,0.95346665,2.7510695,0.8072574,1.147379,2.4417772,0.34407318,0.16935988,2.7840633,1.632918,3.2560976,2.4081295,2.1508882,1.1075792,1.071839,0.20168169,1.3072597,0.48091182,1.504653,0.86662334
"MMEL1",5.1999707,3.8297417,4.828681,5.190308,4.714564,4.3970714,4.5537987,5.5924973,4.880011,5.0932617,3.8546078,5.497462,4.169728,3.923725,4.5658073,4.7330527,3.1830502,3.634914,5.332165,4.7113504,5.340069
"RTL3",4.4198756,4.4014387,1.9242812,0.48794806,4.0612655,3.8916247,2.231973,4.949618,3.4767823,3.8311262,5.167462,5.0713034,4.77885,4.0196733,1.3733279,4.822361,4.4318414,4.5579805,5.0086384,2.1923914,4.743147
"LOC149373",5.4000535,4.044495,4.935592,4.1274285,3.5614007,3.4768865,4.7465596,4.657606,4.842066,4.6188293,5.3281717,5.323624,4.865863,3.91978,4.939765,4.8089075,5.6883545,5.455203,5.611454,5.061144,4.995805
